Subject,Block,CategoryNumber,ITI,Trial,CorrAns,ACC,RESP,RT,Typicality,Familiarity,Item,Category,Prime,cond_TrueFalse,TF,MoCA_dev,old_group,all_groups,group,Typi,Typi_cen,Fam_tipi_cen,Fam_tipi,CD_Log_cen,CD_Log,AoA_cen,AoA,Imag_cen,Imag,Idade,escolaridade,Vocabulary,CCT,Sex
11,2,2,3000,14,1,1,1,2650,6.583333333,3.793103448,Cauliflower,Vegetable,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,6.583333333,0.929450884,-0.210134352,3.79,-0.782008705,1.447158031,0.668931789,3.67,-12.55817012,NA,66,17,14,0.84,female
11,2,3,1500,15,1,1,1,2779,6.625,3.068965517,Grenade,Weapon,VESTUÁRIO,FALSE,0.5,0,healthy,-0.5,Old,6.625,0.960230877,-0.832567883,3.07,0.33785963,2.567026366,1.755667092,4.77,-0.407593761,5.607,66,17,14,0.84,female
11,2,1,1500,16,2,1,2,1106,5.666666667,2.965517241,Buffalo,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,5.666666667,0.252291045,-0.919016985,2.97,-0.115223384,2.113943352,1.083867087,4.09,-0.44443339,5.59,66,17,14,0.84,female
11,2,4,2000,17,2,1,2,3174,5.083333333,3.689655172,Ship,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,5.083333333,-0.178628853,-0.296583454,3.69,0.684117166,2.913283902,0.056408255,3.05,0.823283245,6.175,66,17,14,0.84,female
11,2,2,3000,18,1,1,1,1254,6.625,4.068965517,Pistol,Weapon,FRUTO,FALSE,0.5,0,healthy,-0.5,Old,6.625,0.960230877,0.031923132,4.07,0.793673875,3.022840611,-0.506718221,2.48,0.628249917,6.085,66,17,14,0.84,female
11,2,4,1500,19,1,1,1,1276,6.208333333,4.793103448,Peas,Vegetable,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,6.208333333,0.652430949,0.654356662,4.79,-0.0830387,2.146128036,-0.368406455,2.62,-12.55817012,NA,66,17,14,0.84,female
11,2,3,2000,20,2,1,2,1492,5.583333333,6.137931034,Socks,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,5.583333333,0.190731059,1.821419532,6.14,0.63057183000000006,2.859738566,-1.474900582,1.5,0.628249917,6.085,66,17,14,0.84,female
11,2,3,3000,21,1,1,1,1195,6.208333333,5.517241379,Lettuce,Vegetable,VESTUÁRIO,FALSE,0.5,0,healthy,-0.5,Old,6.208333333,0.652430949,1.285435103,5.52,-0.142806905,2.086359831,-0.279491748,2.71,-0.037030437,5.778,66,17,14,0.84,female
11,2,2,2500,22,2,1,2,1016,6.833333333,5,Grape,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,6.833333333,1.11413084,0.835899775,5,0.049586865,2.278753601,-1.079724108,1.9,-12.55817012,NA,66,17,14,0.84,female
11,2,1,2500,23,1,1,1,1233,5.875,4.275862069,Cucumber,Vegetable,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,5.875,0.406191008,0.213466245,4.28,-0.08928765,2.139879086,0.333031786,3.33,-0.325246356,5.645,66,17,14,0.84,female
11,2,1,1500,24,1,1,1,1213,6.458333333,4.103448276,Sword,Weapon,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,6.458333333,0.837110906,0.057857862,4.1,0.73838124,2.967547976,-0.170818218,2.82,0.810281023,6.169,66,17,14,0.84,female
11,2,3,3000,25,2,1,2,955,4.75,6.103448276,Shoe,Clothing,VESTUÁRIO,aTRUE,-0.5,0,healthy,-0.5,Old,4.75,-0.424868795,1.786839892,6.1,0.536501819,2.765668555,-1.336588816,1.64,-0.045698585,5.774,66,17,14,0.84,female
11,2,4,3000,26,1,1,1,2379,6.166666667,3.034482759,Raven,Birds,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,6.166666667,0.621650957,-0.867147524,3.03,-0.079947624,2.149219113,0.431825905,3.43,-0.026195252,5.783,66,17,14,0.84,female
11,2,4,2500,27,2,1,2,1763,5.75,6.655172414,Subway,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,5.75,0.31385103,2.27095486,6.66,0.716301849,2.945468585,1.212299441,4.22,-1.001361894,5.333,66,17,14,0.84,female
11,2,1,2500,28,2,1,2,1308,5.958333333,4.689655172,Rabbit,Mammals,MAMÍFERO,aTRUE,-0.5,0,healthy,-0.5,Old,5.958333333,0.467750993,0.567907561,4.69,0.504030529,2.733197265,-1.277312345,1.7,-0.463936723,5.581,66,17,14,0.84,female
11,2,2,2500,30,2,1,2,1191,6.375,4.482758621,Kiwi,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,6.375,0.77555092,0.386364448,4.48,-0.724016758,1.505149978,0.738087672,3.74,-0.10637562,5.746,66,17,14,0.84,female
11,2,4,3000,31,2,1,2,1506,5.458333333,4.931034483,Bicycle,Vehicles,VEÍCULO,aTRUE,-0.5,0,healthy,-0.5,Old,5.458333333,0.098391081,0.775385404,4.93,0.722656299,2.951823035,-1.069844696,1.91,0.727933618,6.131,66,17,14,0.84,female
11,2,1,2500,32,1,1,1,3433,6.166666667,2.862068966,Partridge,Birds,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,6.166666667,0.621650957,-1.014110996,2.86,-0.737805042,1.491361694,1.37037003,4.38,-1.79449743,4.967,66,17,14,0.84,female
11,2,1,1500,33,1,1,1,1653,5.333333333,5.103448276,Tomato,Vegetable,MAMÍFERO,FALSE,0.5,0,healthy,-0.5,Old,5.333333333,0.006051103,0.922348877,5.1,0.364119331,2.593286067,-0.684547634,2.3,-0.463936723,5.581,66,17,14,0.84,female
11,2,2,2000,34,2,1,2,1405,6.333333333,3.586206897,Medlar,Fruit,FRUTO,aTRUE,-0.5,0,healthy,-0.5,Old,6.333333333,0.744770927,-0.383032555,3.59,-2.229166736,0,-2.956812359,NA,-12.55817012,NA,66,17,14,0.84,female
11,2,4,3000,35,1,1,1,1590,5.416666667,3.068965517,Beetroot,Vegetable,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,5.416666667,0.067611089,-0.832567883,3.07,-0.595698281,1.633468456,1.488922973,4.5,-1.339419664,5.177,66,17,14,0.84,female
11,2,4,2500,36,1,1,1,1723,5.041666667,2.75862069,Stick,Weapon,VEÍCULO,FALSE,0.5,0,healthy,-0.5,Old,5.041666667,-0.209408846,-1.100560098,2.76,0.185806612,2.414973348,2.150843566,5.17,-2.930024809,4.443,66,17,14,0.84,female
